@relation Vweek_noid_In_clustered

@attribute Instance_number numeric
@attribute in0 numeric
@attribute in1 numeric
@attribute in2 numeric
@attribute in3 numeric
@attribute in4 numeric
@attribute in5 numeric
@attribute in6 numeric
@attribute in7 numeric
@attribute in8 numeric
@attribute in9 numeric
@attribute in10 numeric
@attribute in11 numeric
@attribute in12 numeric
@attribute in13 numeric
@attribute in14 numeric
@attribute in15 numeric
@attribute in16 numeric
@attribute in17 numeric
@attribute in18 numeric
@attribute in19 numeric
@attribute in20 numeric
@attribute in21 numeric
@attribute in22 numeric
@attribute in23 numeric
@attribute Cluster {cluster0,cluster1,cluster2,cluster3,cluster4,cluster5}

@data
10,1.239669,0,0.413223,0.413223,0,0,0.413223,0,3.305785,0.413223,2.066116,2.892562,0.826446,3.719008,3.719008,4.132231,10.330579,4.545455,7.024793,8.677686,3.719008,3.305785,2.066116,1.239669,cluster5
11,0,0,0.26738,0,0,0.26738,0.26738,6.951872,14.973262,6.149733,0.802139,2.406417,3.208556,2.673797,2.941176,1.871658,1.336898,4.278075,3.743316,3.208556,3.208556,2.139037,0.802139,0,cluster5
12,0,0,0,0,0,0,0.413223,2.066116,9.917355,1.652893,1.239669,1.652893,0.413223,0.413223,0.413223,0,0.413223,1.652893,0.826446,0,0.413223,0.413223,0,0.413223,cluster5
13,1.212121,0,0.606061,0,0,0,2.424242,14.545455,51.515152,22.424242,11.818182,6.363636,11.212121,9.090909,7.575758,4.848485,6.666667,10.606061,10.606061,10.606061,8.181818,5.454545,3.030303,2.424242,cluster3
14,0.727273,0.545455,0.727273,0,0,0.545455,3.272727,7.636364,8.727273,7.818182,5.454545,6.363636,7.636364,7.818182,7.090909,6.545455,11.818182,23.636364,28.909091,29.272727,15.818182,9.636364,8.363636,3.272727,cluster0
15,3.367003,0.841751,1.010101,0.505051,0.16835,0,0.841751,3.872054,13.636364,7.239057,3.030303,4.040404,4.713805,4.208754,3.535354,3.535354,3.703704,7.407407,12.794613,14.983165,6.565657,5.050505,6.565657,4.377104,cluster0
16,2.754821,0.137741,1.37741,0,0.275482,1.239669,2.203857,7.85124,13.360882,8.815427,4.269972,5.23416,4.545455,4.820937,3.581267,3.443526,7.438017,9.22865,10.192837,9.641873,6.887052,4.132231,6.473829,2.892562,cluster0
17,4.848485,0.909091,0.606061,0,0,0.606061,5.151515,12.121212,24.545455,29.090909,14.242424,16.363636,18.181818,16.363636,13.030303,16.363636,18.484848,36.060606,45.757576,30.30303,19.393939,15.757576,12.727273,4.848485,cluster1
18,2.392344,1.435407,0.717703,0.717703,0,2.870813,2.392344,7.894737,24.401914,8.133971,5.741627,9.808612,7.416268,10.047847,9.090909,9.808612,9.808612,17.703349,19.138756,15.550239,12.200957,8.373206,6.698565,5.741627,cluster0
19,0.395257,0.395257,0.197628,0.197628,0,0,0.790514,1.185771,1.581028,1.383399,1.976285,1.185771,0.790514,2.173913,0.790514,0.988142,1.581028,2.766798,3.359684,4.347826,3.557312,1.976285,2.173913,0.592885,cluster5
20,2.631579,1.435407,0.239234,0.478469,0.239234,0.239234,0.956938,6.698565,11.244019,7.894737,6.220096,7.177033,7.655502,6.220096,9.090909,7.894737,10.047847,16.267943,18.899522,16.507177,13.875598,13.875598,11.004785,7.177033,cluster0
21,3.754941,1.581028,1.581028,0,0,0.197628,1.581028,4.150198,12.055336,5.13834,2.964427,4.743083,5.335968,6.719368,5.731225,5.335968,11.264822,23.320158,18.181818,12.055336,5.731225,4.347826,4.545455,0.988142,cluster0
22,2.870813,2.15311,0.956938,0,0,8.373206,11.244019,8.133971,22.966507,27.033493,15.550239,15.07177,23.923445,24.641148,19.617225,25.598086,31.818182,65.07177,53.588517,36.602871,29.904306,16.507177,11.004785,5.023923,cluster1
23,2.121212,2.121212,0,0.30303,0.30303,4.545455,8.181818,9.69697,19.090909,19.090909,11.212121,10.30303,13.636364,11.515152,13.030303,17.272727,24.242424,40.30303,37.878788,20.606061,20.909091,14.545455,7.575758,7.878788,cluster1
24,1.239669,0.826446,0.413223,0.206612,0,0.826446,3.92562,5.371901,10.53719,3.099174,5.371901,3.92562,9.710744,9.710744,8.264463,7.231405,11.157025,29.338843,37.190083,20.867769,13.842975,8.057851,7.85124,4.752066,cluster0
25,0.909091,0.606061,0,0,0,0,5.151515,16.060606,37.272727,14.545455,3.636364,4.545455,11.818182,11.818182,7.575758,8.484848,12.121212,9.393939,12.424242,9.090909,4.848485,5.151515,1.818182,1.212121,cluster2
26,0.25974,0,0,0,0,0,1.688312,3.376623,13.766234,14.025974,4.545455,6.233766,6.363636,4.545455,6.103896,5.584416,3.766234,8.571429,5.194805,2.727273,3.116883,1.168831,0.779221,0.38961,cluster2
27,0.909091,0.606061,0.30303,0.606061,0,0.30303,2.727273,3.030303,13.939394,10.909091,4.242424,3.939394,3.636364,1.515152,6.060606,5.454545,4.242424,10.30303,16.060606,10.606061,10.909091,7.575758,5.454545,1.212121,cluster0
28,3.305785,0.826446,0.826446,1.239669,0,1.652893,0.826446,1.652893,6.198347,4.958678,4.545455,1.652893,3.719008,7.438017,2.892562,4.958678,5.785124,4.958678,11.157025,13.22314,4.132231,9.504132,8.677686,10.330579,cluster0
29,0,0,0,0.413223,0,0,0.413223,4.132231,2.479339,4.132231,0.413223,0,0.826446,0.826446,0,3.719008,7.438017,7.024793,5.371901,2.892562,0.826446,0.826446,0.413223,0.413223,cluster5
30,1.435407,1.435407,0.956938,0.239234,0,1.196172,1.435407,3.588517,10.047847,5.980861,5.023923,6.220096,12.200957,15.311005,10.047847,11.004785,14.832536,33.253589,29.904306,26.315789,15.550239,9.330144,8.851675,2.870813,cluster0
31,0,0.30303,0,0,0,0.30303,0.606061,3.636364,7.878788,4.848485,1.515152,2.424242,2.424242,1.515152,2.121212,1.515152,3.333333,3.939394,5.151515,2.727273,2.121212,1.212121,0.30303,0,cluster5
32,3.110048,0.956938,0.478469,0.478469,0,1.196172,4.784689,6.937799,20.095694,7.177033,5.502392,5.502392,6.937799,11.722488,7.894737,8.61244,9.569378,21.5311,20.334928,22.966507,12.440191,11.722488,9.330144,7.177033,cluster0
33,0,0,0,0,0,0,0,0.826446,2.066116,0,0,0.413223,0.826446,0,0.413223,0.413223,0.413223,1.652893,0.413223,0,0,0,0,0.413223,cluster4
34,0.413223,0,0,0,0,0,2.066116,4.958678,6.61157,7.024793,3.305785,2.892562,4.132231,7.024793,4.958678,6.61157,4.958678,7.85124,9.917355,7.438017,3.305785,3.719008,2.066116,0,cluster2
35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,cluster4
36,0,0,0,0,0,0,0,0,0,0,0,0,0.413223,0.413223,0.413223,0,0.413223,0,0.826446,0.413223,0,0,0.413223,0,cluster4
37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,cluster4
38,0,0,0,0,0,0,0,1.239669,2.479339,2.479339,0.413223,0.413223,0.413223,2.066116,1.239669,1.652893,4.132231,1.652893,3.305785,1.239669,0,0,0,0,cluster4
39,0,0,0,0,0,0,0,0,0.413223,3.719008,3.305785,3.305785,1.239669,1.239669,0.826446,2.066116,1.239669,0,0,0.826446,0,0,0.413223,0,cluster5
40,0,0,0,0,0,2.479339,4.958678,19.834711,48.347107,14.46281,2.066116,3.719008,6.61157,8.677686,3.719008,4.132231,7.024793,10.743802,12.396694,8.677686,4.545455,0.413223,0.826446,0,cluster2
41,0,0.909091,0,0.454545,0,0,0.454545,1.363636,5,4.090909,2.272727,1.363636,4.090909,2.727273,3.181818,2.272727,1.363636,7.272727,3.181818,3.181818,1.363636,0.909091,1.363636,0.909091,cluster5
42,1.948052,2.922078,0.649351,0.324675,0,0.649351,4.220779,4.545455,9.090909,10.064935,5.194805,7.467532,7.792208,7.792208,9.74026,11.038961,11.363636,20.779221,25.324675,28.246753,18.831169,11.363636,10.064935,7.792208,cluster0
43,0.909091,0,0,0,0.909091,0,1.363636,3.181818,8.181818,3.636364,3.181818,1.363636,4.545455,3.181818,3.636364,2.727273,5.454545,7.272727,7.272727,3.636364,2.727273,4.090909,1.818182,0.454545,cluster5
44,0.11655,0,0,0,0,0.2331,0.11655,0.11655,0.11655,0,0.2331,0.2331,0.11655,0.11655,0.582751,0.34965,0.932401,1.048951,0.4662,0,0.11655,0,0.2331,0.2331,cluster4
45,3.246753,1.948052,0.649351,0.649351,0.324675,0.649351,12.662338,23.701299,43.181818,32.792208,13.311688,16.883117,16.233766,19.155844,24.350649,14.61039,23.051948,36.038961,42.532468,37.662338,22.727273,18.506494,7.142857,6.168831,cluster1
46,2.121212,0.30303,1.818182,0.30303,0,0.30303,2.727273,10.606061,23.333333,7.272727,2.121212,6.969697,8.181818,6.666667,6.969697,8.787879,9.69697,22.424242,32.121212,29.69697,20.909091,11.515152,10.909091,6.666667,cluster0
47,0.413223,0,0,0,0,0,0,0.826446,0,1.239669,0,1.239669,0.413223,1.652893,0.826446,1.652893,1.652893,3.305785,4.132231,3.305785,3.719008,1.652893,1.239669,0.826446,cluster5
48,0,0,0,0.26738,0,0.26738,21.390374,12.032086,15.775401,3.743316,2.139037,1.604278,2.406417,4.278075,3.475936,4.545455,5.882353,6.684492,7.219251,4.010695,2.139037,0.802139,1.871658,0.534759,cluster2
49,1.756198,0.516529,0,0,0.103306,0.619835,4.442149,12.293388,37.396694,25.826446,14.049587,10.020661,14.566116,13.119835,10.847107,10.53719,13.739669,26.549587,24.793388,16.42562,10.640496,8.057851,5.681818,2.169421,cluster3
50,3.030303,0.606061,1.818182,0.30303,0,0.606061,6.666667,19.090909,30,9.393939,2.424242,6.060606,8.787879,10.909091,8.787879,12.424242,8.484848,21.818182,18.484848,12.727273,10.909091,10.606061,3.939394,4.848485,cluster0
51,2.777778,0.757576,0.505051,0.505051,0,1.010101,8.333333,12.626263,53.282828,35.353535,15.40404,12.373737,13.383838,13.383838,15.656566,10.606061,12.373737,24.242424,24.494949,14.141414,7.323232,6.565657,5.555556,5.050505,cluster3
52,0.956938,0,0.478469,0.478469,0,4.066986,10.526316,33.014354,67.464115,27.751196,12.679426,9.808612,12.200957,12.679426,10.76555,9.808612,16.985646,33.492823,33.492823,13.397129,7.894737,3.588517,2.631579,2.15311,cluster3
53,2.121212,1.818182,1.212121,0.30303,0.606061,4.242424,3.030303,11.818182,17.575758,14.848485,6.060606,7.272727,9.090909,10.30303,10.909091,8.181818,11.515152,24.242424,18.181818,13.636364,13.939394,6.060606,4.848485,3.030303,cluster0
54,0.413223,0.826446,0,1.239669,0.413223,0.413223,9.090909,7.024793,28.92562,15.289256,9.917355,8.264463,7.024793,8.677686,4.958678,16.528926,14.876033,25.619835,16.942149,14.876033,9.917355,7.85124,3.719008,2.066116,cluster3
55,1.212121,0.30303,0.30303,0,0,0,1.212121,3.636364,6.060606,3.030303,3.030303,3.636364,1.515152,5.757576,6.969697,7.272727,7.878788,17.272727,15.757576,10.606061,10.30303,4.848485,1.212121,1.515152,cluster0
56,0.30303,0.909091,0.30303,0,0,0,1.212121,2.424242,3.636364,5.151515,5.151515,2.121212,4.545455,5.151515,7.272727,6.060606,7.272727,13.030303,16.363636,12.424242,13.030303,3.939394,5.757576,1.818182,cluster0
57,7.323232,2.020202,3.030303,1.010101,0.252525,1.767677,3.030303,15.656566,26.262626,22.727273,12.626263,11.868687,15.656566,15.909091,17.676768,22.474747,25.505051,52.020202,39.89899,33.585859,22.727273,21.212121,15.40404,13.636364,cluster1
58,1.212121,0.606061,0.30303,0,0,0.606061,1.212121,5.151515,12.727273,6.666667,3.636364,6.060606,1.515152,2.424242,3.939394,3.030303,3.333333,6.363636,3.636364,5.151515,3.636364,2.121212,3.333333,0.606061,cluster5
59,3.846154,1.048951,1.398601,0.699301,0,0.34965,1.748252,6.993007,16.433566,11.188811,8.741259,8.391608,12.587413,10.839161,10.839161,8.391608,16.433566,25.524476,25.524476,18.531469,20.629371,12.587413,11.538462,4.545455,cluster0
60,0.413223,0,0.826446,0.826446,0.413223,0.413223,2.066116,3.719008,6.198347,3.305785,0.826446,2.479339,0.826446,3.305785,2.479339,4.132231,4.132231,7.85124,14.049587,6.61157,6.61157,2.479339,1.652893,0.413223,cluster5
61,0,0,0,0,0,2.424242,1.212121,1.818182,3.636364,1.818182,2.727273,4.848485,3.030303,2.424242,6.060606,3.333333,4.848485,7.272727,2.727273,1.515152,3.030303,0.909091,1.212121,0,cluster5
62,0.606061,0,0,0.606061,0.606061,0,0.30303,0.30303,2.424242,1.515152,1.515152,3.030303,2.121212,2.121212,2.424242,1.515152,2.424242,2.727273,10,3.030303,2.727273,2.121212,3.030303,0.909091,cluster5
63,0.413223,0,0,0,0,0.413223,0,2.479339,3.305785,0,0.826446,0.413223,0.826446,0.826446,0,1.239669,2.066116,1.652893,3.305785,2.479339,0.413223,1.239669,1.239669,1.239669,cluster5
64,0,0,0,0,0,0,0,0.413223,0,0,0,0,0,2.479339,1.239669,1.239669,1.239669,2.066116,0,0,0.413223,0,0,0,cluster4
65,0,0,0,0,0,0,0,0.413223,0,0,0,0.413223,0,0,0,0.413223,0,1.652893,0,0,0,0.826446,0,0,cluster4
66,1.515152,0.909091,0.30303,0,0,0,7.272727,4.545455,13.333333,10.30303,3.939394,7.272727,9.090909,9.69697,10.909091,9.090909,8.787879,11.212121,17.575758,11.818182,7.878788,5.757576,3.333333,3.030303,cluster3
67,0.478469,0.239234,0.239234,0,0,0.478469,0.239234,6.45933,29.425837,23.205742,6.698565,5.263158,6.45933,8.133971,7.177033,4.066986,7.177033,5.502392,7.177033,4.066986,4.066986,1.196172,2.870813,1.196172,cluster2
68,0,0,0,0,0,0,0,0,0,0.413223,0,0.413223,0.413223,0.413223,1.239669,0,0.413223,0,0.413223,0.413223,0.413223,0.413223,0,0,cluster4
69,0.11655,0.2331,0,0,0,0.2331,4.312354,5.827506,6.293706,5.944056,2.913753,1.165501,2.097902,2.097902,1.981352,2.214452,0.932401,2.214452,2.097902,0.34965,0.2331,0.34965,0.11655,0.2331,cluster5
70,0,0,0,0,0,0.757576,1.262626,12.121212,28.282828,19.949495,8.585859,6.565657,4.545455,7.070707,8.080808,5.555556,5.050505,6.818182,8.080808,3.535354,1.767677,1.262626,0.757576,0,cluster2
71,0,0,0,0,0,0,0,0.413223,2.479339,0.413223,0.826446,0.826446,0.826446,0,1.239669,0,0.826446,2.892562,2.066116,1.652893,1.652893,1.652893,0,0,cluster4
72,0,0,0,0.324675,0,2.272727,11.038961,37.987013,68.831169,21.428571,3.571429,7.142857,4.220779,15.25974,4.545455,6.168831,9.74026,12.662338,12.662338,8.766234,3.246753,1.623377,1.298701,0.974026,cluster3
73,0,0,0,0,0,0.30303,5.151515,7.575758,20,16.060606,3.333333,3.333333,8.181818,6.666667,6.666667,13.333333,32.121212,23.333333,6.969697,5.757576,3.333333,2.424242,1.515152,0.30303,cluster2
74,0.151515,0,0,0,0,0.30303,2.727273,3.787879,13.484848,8.787879,4.090909,2.272727,3.939394,4.393939,3.939394,5.454545,5.909091,5.454545,1.818182,1.666667,1.212121,0,0,0,cluster5
75,0,0,0,0,0,0,0.413223,0.413223,8.677686,2.892562,0.826446,2.066116,2.892562,1.239669,1.239669,4.545455,5.371901,12.396694,7.438017,1.652893,0.826446,0,0.826446,0,cluster5
76,2.020202,1.515152,1.010101,0.252525,0,0.757576,9.343434,27.272727,43.939394,15.151515,10.606061,12.878788,12.626263,14.141414,10.606061,10.858586,14.89899,30.555556,33.585859,27.525253,19.191919,13.636364,7.323232,2.777778,cluster1
77,0.478469,0.239234,0.239234,0,0,0.478469,4.066986,7.894737,37.08134,24.880383,7.894737,8.133971,11.244019,8.851675,6.45933,7.655502,8.373206,20.574163,13.875598,8.133971,5.023923,4.066986,1.913876,1.913876,cluster3
78,0.606061,0,0.606061,0,0,0.909091,2.424242,2.727273,5.151515,6.363636,3.636364,5.151515,2.424242,2.727273,4.848485,3.939394,5.757576,11.818182,7.272727,4.242424,6.363636,4.242424,1.212121,0.909091,cluster5
79,1.010101,0.16835,0.673401,0.505051,0,0,0,0.505051,1.683502,1.010101,2.020202,2.020202,2.525253,3.535354,3.535354,3.030303,6.228956,8.754209,10.43771,9.427609,6.397306,4.882155,3.030303,1.178451,cluster5
80,0.30303,0,0,0.151515,0,0.909091,6.969697,4.242424,10.454545,11.666667,3.787879,2.272727,5.909091,5.757576,2.878788,2.575758,2.727273,9.848485,7.727273,4.69697,2.575758,1.212121,0.606061,0.909091,cluster2
81,0.909091,0.606061,0,0,1.212121,0.909091,2.121212,10.606061,39.090909,30.30303,7.272727,8.484848,13.030303,7.575758,10.606061,10.606061,15.454545,23.333333,9.393939,13.030303,6.060606,4.545455,2.727273,0.909091,cluster3
82,2.15311,1.435407,1.435407,0,0,3.588517,1.196172,7.177033,15.311005,11.961722,5.741627,4.545455,8.133971,6.698565,8.851675,11.961722,10.526316,23.444976,29.186603,15.07177,13.157895,9.330144,7.177033,3.827751,cluster0
83,0,0.30303,0.30303,0,0,0,0,0.909091,0.606061,0.30303,0.30303,2.424242,1.515152,2.727273,2.121212,3.030303,3.030303,3.030303,3.333333,2.424242,2.121212,1.818182,1.515152,0.606061,cluster5
84,0,0,0,0,0.909091,3.030303,6.969697,16.969697,26.363636,17.272727,9.393939,10.909091,11.515152,10,8.181818,6.969697,8.484848,10.606061,13.333333,5.757576,7.575758,5.151515,0.606061,0.606061,cluster3
85,0.395257,0.197628,0.197628,0.197628,0,0.395257,0.592885,7.70751,19.16996,16.205534,5.335968,4.545455,6.324111,6.126482,5.928854,7.905138,4.743083,9.090909,9.288538,4.150198,2.371542,2.56917,0.988142,0.790514,cluster2
86,0.505051,1.010101,0.252525,0,0,0,0.757576,3.282828,2.525253,3.535354,3.030303,3.030303,1.010101,2.020202,2.525253,3.030303,5.808081,4.79798,5.555556,1.767677,3.282828,0.252525,1.262626,0.757576,cluster5
87,1.082251,0.649351,0,0.21645,0,0.21645,0.649351,3.679654,4.545455,6.493506,4.978355,4.112554,6.926407,6.709957,3.896104,6.926407,8.874459,19.264069,25.541126,15.151515,6.493506,7.142857,4.761905,2.597403,cluster0
88,0.413223,0,0,0.826446,0,3.305785,3.719008,7.438017,5.371901,11.570248,3.719008,4.545455,4.545455,5.371901,8.264463,7.024793,9.504132,14.46281,7.438017,3.305785,4.132231,2.479339,2.892562,0.413223,cluster2
89,0,0.197628,0,0,0,0.197628,3.359684,6.324111,33.992095,25.494071,4.150198,6.126482,7.312253,6.521739,9.090909,7.312253,5.13834,6.719368,7.312253,5.13834,1.778656,3.162055,2.173913,1.581028,cluster2
90,0.550964,0.275482,0.137741,0.137741,0.137741,0.275482,2.892562,5.647383,10.192837,8.815427,5.647383,7.024793,9.090909,5.509642,4.407713,8.126722,8.402204,13.636364,18.595041,10.330579,5.509642,3.168044,2.066116,1.101928,cluster2
91,1.239669,0,0,0,0,0,0.413223,0.826446,11.570248,3.719008,0.826446,1.652893,3.305785,0.826446,1.239669,1.239669,0.826446,6.61157,6.61157,2.479339,1.652893,1.652893,1.239669,0,cluster5
92,2.479339,0.826446,0.413223,0,0,0.826446,1.239669,2.066116,10.743802,2.479339,2.892562,3.305785,4.132231,3.305785,2.066116,4.958678,8.264463,7.438017,10.743802,9.504132,5.371901,4.958678,4.132231,3.305785,cluster0
93,0.592885,0,0.395257,0,0.197628,1.778656,1.383399,1.778656,4.150198,3.359684,1.383399,1.581028,3.952569,5.335968,3.952569,7.509881,8.498024,8.300395,13.438735,13.043478,7.312253,2.964427,1.778656,1.581028,cluster2
94,2.15311,1.196172,1.196172,0.239234,0,0.239234,1.196172,2.631579,5.741627,4.784689,2.631579,4.30622,5.980861,8.373206,7.894737,10.76555,16.746411,31.100478,29.904306,22.727273,8.851675,7.894737,8.133971,5.023923,cluster0
95,3.030303,0.606061,0.606061,0.30303,0,0.30303,0.30303,0,3.333333,1.818182,0.606061,1.515152,1.818182,0.606061,1.515152,3.636364,2.424242,4.848485,6.363636,5.151515,4.545455,2.424242,2.727273,0.909091,cluster5
96,0,0.909091,1.363636,0,0,0,1.363636,3.181818,21.363636,20,7.272727,10.909091,5.454545,9.090909,15,13.636364,14.545455,31.818182,28.181818,17.272727,16.818182,9.090909,7.727273,5,cluster0
97,1.090909,0,0.181818,0.181818,0,0.181818,0.909091,3.636364,5.636364,4,3.636364,4,3.818182,3.454545,6.545455,10.909091,11.090909,24.727273,20.363636,15.272727,11.272727,4.727273,5.636364,1.454545,cluster0
98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.413223,0.413223,0,0,0,0,0,cluster4
99,0.879765,0.293255,0,0,0,0.146628,0,1.759531,2.346041,1.466276,1.319648,1.466276,2.199413,2.346041,2.932551,5.131965,6.304985,8.504399,17.155425,10.557185,6.451613,4.83871,2.199413,1.612903,cluster5
100,3.359684,3.359684,1.185771,0.790514,0.592885,1.976285,3.162055,6.916996,16.798419,13.241107,10.869565,12.450593,15.41502,17.391304,13.438735,14.031621,27.272727,46.640316,42.094862,23.12253,20.948617,13.241107,10.869565,6.916996,cluster1
101,0.293255,0.146628,0,0.146628,0,0.293255,2.052786,8.797654,26.246334,17.155425,4.398827,3.519062,6.451613,7.917889,6.59824,4.985337,8.797654,9.824047,10.410557,5.571848,2.052786,0.146628,1.319648,0.439883,cluster2
102,0,0,0,0,0,2.545455,3.454545,8.545455,35.818182,15.272727,4.363636,3.818182,6.909091,7.090909,5.272727,10.181818,8.181818,16,2.545455,0.727273,0.909091,0.363636,0.363636,0,cluster2
103,1.674641,0.239234,0.956938,0,0,0.717703,14.114833,4.066986,15.550239,8.851675,8.133971,9.090909,11.004785,11.244019,9.090909,8.373206,13.875598,20.813397,28.4689,15.550239,10.047847,3.588517,1.913876,0.239234,cluster3
104,0.174825,0.34965,0.174825,0,0,0.874126,4.545455,9.615385,32.167832,22.027972,4.545455,4.195804,6.818182,5.594406,5.769231,7.517483,9.090909,16.258741,13.461538,4.195804,3.146853,2.797203,1.748252,1.923077,cluster2
105,1.010101,0.757576,1.262626,0,0.252525,2.525253,4.040404,6.313131,30.30303,17.929293,9.090909,8.585859,10.353535,9.090909,7.070707,6.060606,10.353535,20.707071,25.505051,11.363636,8.333333,5.555556,7.070707,3.030303,cluster3
106,0,0,0,0.606061,0,1.818182,3.333333,11.515152,17.272727,14.848485,8.181818,4.848485,2.727273,6.969697,4.545455,3.636364,8.181818,11.515152,8.787879,2.424242,2.424242,0.606061,0.606061,0,cluster2
107,0,0,0,0,0,0,0,1.069519,15.508021,12.299465,3.475936,2.406417,3.475936,2.139037,2.272727,1.470588,2.406417,1.604278,0.802139,0.26738,0.26738,0.13369,0.26738,0.26738,cluster5
108,1.185771,0.988142,0.395257,0.395257,0,0.197628,2.173913,4.940711,12.648221,15.41502,8.695652,7.312253,6.324111,4.545455,7.312253,6.126482,5.731225,9.881423,8.695652,3.162055,2.56917,3.754941,1.976285,1.581028,cluster2
109,1.435407,0.478469,0.478469,0.478469,1.435407,0,0.956938,4.066986,1.913876,2.870813,0.717703,3.827751,3.349282,6.220096,3.827751,4.784689,10.76555,17.942584,24.641148,14.354067,8.133971,8.373206,4.784689,3.588517,cluster0
110,0.909091,0.909091,0.909091,0,0.30303,0,0.909091,3.636364,21.818182,31.515152,8.484848,10.909091,14.242424,12.424242,15.151515,17.272727,18.787879,24.848485,30.909091,16.969697,16.060606,14.848485,6.666667,4.545455,cluster1
111,2.272727,0.757576,0.757576,0.30303,0.454545,6.666667,19.393939,43.333333,80.909091,32.424242,14.090909,11.212121,10.909091,12.424242,14.848485,21.969697,40.606061,45,30.30303,18.181818,8.939394,9.393939,8.484848,5.757576,cluster1
112,1.033058,0,0.206612,0,0.619835,3.099174,2.68595,9.504132,42.975207,34.917355,11.983471,8.677686,12.190083,10.950413,9.710744,12.190083,27.066116,36.983471,16.528926,7.231405,3.512397,1.033058,0.619835,1.652893,cluster3
113,1.674641,1.913876,0.717703,0.478469,0.239234,0.956938,1.913876,1.913876,4.784689,5.023923,2.392344,7.416268,11.722488,9.330144,7.894737,11.004785,10.526316,23.444976,31.818182,19.37799,14.832536,10.526316,10.047847,4.066986,cluster0
114,0.324675,0,0,0.649351,0,0,0,2.597403,7.467532,3.571429,0.974026,1.623377,2.272727,1.623377,0.974026,2.597403,2.272727,3.896104,7.792208,3.571429,1.298701,1.948052,1.623377,0,cluster5
115,0,0,0,0,0,0,1.383399,7.905138,19.367589,20.55336,6.719368,8.102767,9.090909,9.683794,5.928854,4.940711,9.486166,10.671937,7.312253,4.940711,2.371542,1.581028,1.383399,1.778656,cluster2
116,0,0,0.197628,0,0,0,0,0.395257,0,0.197628,0,0.592885,0.395257,0,0,0.395257,0.790514,3.162055,3.754941,0.790514,1.185771,0.988142,0.395257,0.197628,cluster5
117,0.592885,0,0,0,0,0,0,0.197628,0.395257,1.383399,0.790514,0.790514,3.754941,3.359684,6.521739,3.557312,3.952569,3.952569,2.173913,0.790514,0.395257,1.185771,0.395257,0,cluster5
